plan,total_district_num,total_elected,dist_num,mode,H_vk_avg_prop,H_prop_census
000,16,5,11,slate_bt,0.56,0.5146469445500232
000,16,5,12,slate_bt,0.556,0.2695433886536958
000,16,5,13,slate_bt,0.568,0.41995916670779165
000,16,5,14,slate_bt,0.55,0.4800280979264771
000,16,5,15,slate_bt,0.556,0.35988619835926267
200,16,5,0,slate_bt,0.542,0.5246786025653993
200,16,5,1,slate_bt,0.56,0.23108577337875869
200,16,5,2,slate_bt,0.564,0.4220559297661394
200,16,5,3,slate_bt,0.566,0.2009654496676581
200,16,5,4,slate_bt,0.568,0.39967626499264586
200,16,5,5,slate_bt,0.564,0.21203544804771926
200,16,5,6,slate_bt,0.56,0.4730734292697591
200,16,5,7,slate_bt,0.554,0.2830363546939361
200,16,5,8,slate_bt,0.574,0.2595236006137874
200,16,5,9,slate_bt,0.578,0.18855538960813104
200,16,5,10,slate_bt,0.564,0.4589695033969555
200,16,5,11,slate_bt,0.56,0.37442909860611867
200,16,5,12,slate_bt,0.562,0.29401423260039367
200,16,5,13,slate_bt,0.572,0.43030348518504913
200,16,5,14,slate_bt,0.562,0.3977214004003047
200,16,5,15,slate_bt,0.548,0.5280681805254601
400,16,5,0,slate_bt,0.554,0.26116360165606856
400,16,5,1,slate_bt,0.55,0.24858846784672525
400,16,5,2,slate_bt,0.556,0.6537783297688455
400,16,5,3,slate_bt,0.57,0.36696103490503235
400,16,5,4,slate_bt,0.556,0.18788520714217588
400,16,5,5,slate_bt,0.564,0.4942835811860611
400,16,5,6,slate_bt,0.548,0.39096496406821896
400,16,5,7,slate_bt,0.566,0.41103831971590715
400,16,5,8,slate_bt,0.55,0.20788085070270565
400,16,5,9,slate_bt,0.55,0.33496691046909083
400,16,5,10,slate_bt,0.562,0.2641191823894678
400,16,5,11,slate_bt,0.572,0.16095822891176295
400,16,5,12,slate_bt,0.566,0.3675433952511172
400,16,5,13,slate_bt,0.568,0.4900508332694641
400,16,5,14,slate_bt,0.576,0.4449210896196073
400,16,5,15,slate_bt,0.554,0.40660216078857264
600,16,5,0,slate_bt,0.552,0.47306202974521017
600,16,5,1,slate_bt,0.566,0.526013746492575
600,16,5,2,slate_bt,0.554,0.29722504322174265
600,16,5,3,slate_bt,0.57,0.29735755928805147
600,16,5,4,slate_bt,0.546,0.22147538950321047
600,16,5,5,slate_bt,0.552,0.19130968561843364
600,16,5,6,slate_bt,0.564,0.4007219412081761
600,16,5,7,slate_bt,0.562,0.4286221660671469
600,16,5,8,slate_bt,0.552,0.19019338235135896
600,16,5,9,slate_bt,0.55,0.35144503216133616
600,16,5,10,slate_bt,0.55,0.5222655344307906
600,16,5,11,slate_bt,0.572,0.22814575498220158
600,16,5,12,slate_bt,0.56,0.6335747206683106
600,16,5,13,slate_bt,0.562,0.3964840537813411
600,16,5,14,slate_bt,0.564,0.21927177641054602
600,16,5,15,slate_bt,0.568,0.28618882742610935
800,16,5,0,slate_bt,0.568,0.6425518277739776
800,16,5,1,slate_bt,0.554,0.23790472696943804
800,16,5,2,slate_bt,0.552,0.4528924667057777
800,16,5,3,slate_bt,0.55,0.3318198351276367
800,16,5,4,slate_bt,0.572,0.45477968761795984
800,16,5,5,slate_bt,0.564,0.37399007964424646
800,16,5,6,slate_bt,0.566,0.2137549701410101
800,16,5,7,slate_bt,0.56,0.22899369932472094
800,16,5,8,slate_bt,0.548,0.5274284813341976
800,16,5,9,slate_bt,0.572,0.2984223871170486
800,16,5,10,slate_bt,0.568,0.27919086903684825
800,16,5,11,slate_bt,0.556,0.23487284672904357
800,16,5,12,slate_bt,0.556,0.3518911245272189
800,16,5,13,slate_bt,0.558,0.16451929973700288
800,16,5,14,slate_bt,0.564,0.4809896388128677
800,16,5,15,slate_bt,0.546,0.3932528895253728
000,20,4,0,cambridge,0.5875,0.4845689937508477
000,20,4,1,cambridge,0.5775,0.2293154333879419
000,20,4,2,cambridge,0.625,0.6523292015586047
000,20,4,3,cambridge,0.57,0.3376923951059988
000,20,4,4,cambridge,0.6,0.16536923081897875
